,temp,dew,humidity,precip,windspeed,winddir,cloudcover,solarradiation
0,24.9,24.4,97.05,0.6,6.5,104.0,83.2,0.0
1,24.7,24.2,97.05,0.7,6.5,96.6,84.5,0.0
2,24.6,24.0,96.47,0.9,6.5,88.8,85.9,0.0
3,24.5,23.8,95.89,1.1,6.1,80.6,87.4,0.0
4,24.4,23.6,95.31,1.1,5.8,74.0,87.9,0.0
5,24.3,23.4,94.73,1.1,6.1,71.7,86.6,0.0
6,24.2,23.3,94.73,1.1,6.5,74.3,85.3,6.3
7,25.6,24.3,92.54,1.0,6.8,82.4,76.6,107.8
8,27.2,24.3,84.2,1.0,9.4,110.1,52.7,292.1
9,28.3,24.1,78.01,0.3,11.2,129.7,42.9,440.1
10,28.7,24.2,76.68,0.3,11.5,138.9,42.4,554.3
11,29.1,24.4,75.83,0.5,11.2,145.8,41.5,612.0
12,29.5,24.8,75.89,0.6,9.7,148.1,42.8,644.5
13,29.7,24.9,75.47,0.5,7.9,145.0,60.0,589.5
14,29.7,25.0,75.92,0.4,7.2,142.9,80.9,479.0
15,29.6,25.1,76.81,0.3,6.1,145.3,83.6,374.0
16,29.3,25.5,80.04,0.2,4.3,151.9,84.5,216.9
17,28.8,25.1,80.45,0.2,4.0,149.1,86.9,87.1
18,28.0,25.4,85.8,0.3,2.5,144.5,87.3,14.8
19,27.5,25.1,86.78,0.2,2.2,138.5,86.5,0.0
20,27.1,24.9,87.79,0.2,2.2,123.4,86.0,0.0
21,26.5,25.0,91.49,0.1,3.2,117.9,86.5,0.0
22,25.9,25.0,94.79,0.1,4.3,120.2,87.1,0.0
23,25.5,24.8,95.92,0.2,4.7,119.3,88.0,0.0
24,25.2,24.7,97.06,0.2,4.7,116.9,88.1,0.0
25,24.9,24.5,97.64,0.3,5.0,113.0,87.3,0.0
26,24.8,24.4,97.64,0.3,5.8,109.8,86.7,0.0
27,24.6,24.3,98.22,0.3,5.8,108.4,87.7,0.0
28,24.6,24.2,97.63,0.3,6.1,107.7,88.3,0.0
29,24.5,24.2,98.22,0.3,6.5,105.2,86.9,0.0
30,24.5,24.1,97.63,0.4,6.5,103.5,76.3,3.0
31,25.1,24.5,96.48,0.4,8.3,100.2,61.2,61.3
32,26.0,24.8,93.11,0.5,10.1,101.6,55.4,192.1
33,26.9,25.0,89.36,1.1,11.2,107.0,54.9,309.8
34,27.4,24.6,84.72,0.6,12.2,110.9,53.6,401.6
35,27.8,24.4,81.78,0.1,13.0,111.0,53.3,494.5
36,28.2,24.2,78.94,0.2,12.2,112.4,50.5,532.5
37,28.5,24.2,77.58,0.4,11.9,115.7,43.1,569.8
38,28.7,24.3,77.14,0.4,11.5,119.3,33.7,569.5
39,28.7,24.3,77.14,0.2,11.2,122.9,29.4,509.8
40,28.5,24.4,78.51,0.3,10.1,129.3,32.8,356.1
41,27.8,24.8,83.76,0.1,8.3,137.1,42.7,174.4
42,26.6,24.7,89.33,0.2,6.5,139.2,56.7,30.0
43,25.7,24.5,93.1,0.1,5.0,146.7,67.7,0.0
44,25.5,24.2,92.53,0.2,4.0,141.0,78.9,0.0
45,25.4,24.0,91.97,0.2,2.5,106.5,84.5,0.0
46,25.1,23.9,93.07,0.2,3.2,62.5,84.5,0.0
47,24.7,23.7,94.18,0.2,5.0,48.2,79.6,0.0
48,24.4,23.5,94.73,0.3,6.1,49.7,80.9,0.0
49,24.2,23.3,94.73,0.5,6.5,56.1,81.5,0.0
50,24.2,23.1,93.59,0.6,6.5,65.8,82.1,0.0
51,24.1,22.9,93.02,0.8,6.5,73.5,82.8,0.0
52,24.1,22.6,91.34,0.9,5.8,77.8,84.1,0.0
53,24.2,22.3,89.15,0.9,4.3,70.5,85.4,0.0
54,24.3,22.1,87.55,1.0,3.6,48.1,85.5,3.4
55,24.8,23.3,91.38,1.1,3.2,37.5,85.6,55.1
56,26.1,23.0,83.07,1.2,2.2,74.4,84.6,146.5
57,27.5,23.5,78.84,0.3,3.2,126.6,80.6,266.0
58,28.4,23.2,73.47,0.3,3.6,125.4,79.1,399.5
59,28.5,22.9,71.73,0.4,4.0,137.9,75.9,433.1
60,28.6,23.1,72.18,0.4,4.3,148.1,71.4,500.9
61,28.8,23.2,71.78,0.3,5.0,152.9,70.3,505.4
62,28.9,23.3,71.8,0.3,6.1,162.4,59.8,481.9
63,28.8,23.4,72.65,0.2,7.2,173.4,56.1,434.4
64,28.3,23.8,76.62,0.1,7.6,188.6,65.2,316.6
65,27.8,24.2,80.8,0.1,6.8,202.9,61.7,186.4
66,26.7,24.1,85.67,0.2,5.4,215.0,70.7,35.1
67,25.6,24.0,90.89,0.3,4.7,224.8,79.8,0.0
