name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Almora, Uttarrakhand",2010-09-13T00:00:00,24.9,24.9,24.4,97.05,0.6,100,rain,,,,6.5,104,,83.2,,0,0,0,,"Rain, Partially cloudy",rain,remote
"Almora, Uttarrakhand",2010-09-13T01:00:00,24.7,24.7,24.2,97.05,0.7,100,rain,,,,6.5,96.6,,84.5,,0,0,0,,"Rain, Partially cloudy",rain,remote
"Almora, Uttarrakhand",2010-09-13T02:00:00,24.6,24.6,24,96.47,0.9,100,rain,,,,6.5,88.8,,85.9,,0,0,0,,"Rain, Partially cloudy",rain,remote
"Almora, Uttarrakhand",2010-09-13T03:00:00,24.5,24.5,23.8,95.89,1.1,100,rain,,,,6.1,80.6,,87.4,,0,0,0,,"Rain, Partially cloudy",rain,remote
"Almora, Uttarrakhand",2010-09-13T04:00:00,24.4,24.4,23.6,95.31,1.1,100,rain,,,,5.8,74,,87.9,,0,0,0,,"Rain, Partially cloudy",rain,remote
"Almora, Uttarrakhand",2010-09-13T05:00:00,24.3,24.3,23.4,94.73,1.1,100,rain,,,,6.1,71.7,,86.6,,0,0,0,,"Rain, Partially cloudy",rain,remote
"Almora, Uttarrakhand",2010-09-13T06:00:00,24.2,24.2,23.3,94.73,1.1,100,rain,,,,6.5,74.3,,85.3,,6.3,0,0,,"Rain, Partially cloudy",rain,remote
"Almora, Uttarrakhand",2010-09-13T07:00:00,25.6,25.6,24.3,92.54,1,100,rain,,,,6.8,82.4,,76.6,,107.8,0.4,1,,"Rain, Partially cloudy",rain,remote
"Almora, Uttarrakhand",2010-09-13T08:00:00,27.2,30.5,24.3,84.2,1,100,rain,,,,9.4,110.1,,52.7,,292.1,1.1,3,,"Rain, Partially cloudy",rain,remote
"Almora, Uttarrakhand",2010-09-13T09:00:00,28.3,32.4,24.1,78.01,0.3,100,rain,,,,11.2,129.7,,42.9,,440.1,1.6,4,,"Rain, Partially cloudy",rain,remote
"Almora, Uttarrakhand",2010-09-13T10:00:00,28.7,33.2,24.2,76.68,0.3,100,rain,,,,11.5,138.9,,42.4,,554.3,2,6,,"Rain, Partially cloudy",rain,remote
"Almora, Uttarrakhand",2010-09-13T11:00:00,29.1,34,24.4,75.83,0.5,100,rain,,,,11.2,145.8,,41.5,,612,2.2,6,,"Rain, Partially cloudy",rain,remote
"Almora, Uttarrakhand",2010-09-13T12:00:00,29.5,35,24.8,75.89,0.6,100,rain,,,,9.7,148.1,,42.8,,644.5,2.3,6,,"Rain, Partially cloudy",rain,remote
"Almora, Uttarrakhand",2010-09-13T13:00:00,29.7,35.5,24.9,75.47,0.5,100,rain,,,,7.9,145,,60,,589.5,2.1,6,,"Rain, Partially cloudy",rain,remote
"Almora, Uttarrakhand",2010-09-13T14:00:00,29.7,35.6,25,75.92,0.4,100,rain,,,,7.2,142.9,,80.9,,479,1.7,5,,"Rain, Partially cloudy",rain,remote
"Almora, Uttarrakhand",2010-09-13T15:00:00,29.6,35.5,25.1,76.81,0.3,100,rain,,,,6.1,145.3,,83.6,,374,1.3,4,,"Rain, Partially cloudy",rain,remote
"Almora, Uttarrakhand",2010-09-13T16:00:00,29.3,35.5,25.5,80.04,0.2,100,rain,,,,4.3,151.9,,84.5,,216.9,0.8,2,,"Rain, Partially cloudy",rain,remote
"Almora, Uttarrakhand",2010-09-13T17:00:00,28.8,34.1,25.1,80.45,0.2,100,rain,,,,4,149.1,,86.9,,87.1,0.3,1,,"Rain, Partially cloudy",rain,remote
"Almora, Uttarrakhand",2010-09-13T18:00:00,28,32.9,25.4,85.8,0.3,100,rain,,,,2.5,144.5,,87.3,,14.8,0.1,0,,"Rain, Partially cloudy",rain,remote
