name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Asi Ganga (Uttarkashi),2012-08-01T00:00:00,21.4,21.4,20.1,92.31,0.1,100,rain,,,,1.4,22.8,,92.4,,0,0,0,,"Rain, Overcast",rain,remote
Asi Ganga (Uttarkashi),2012-08-01T01:00:00,21.1,21.1,20.1,94.02,0.1,100,rain,,,,1.4,1.8,,92.3,,0,0,0,,"Rain, Overcast",rain,remote
Asi Ganga (Uttarkashi),2012-08-01T02:00:00,20.9,20.9,20,94.6,0.1,100,rain,,,,2.5,330.6,,96,,0,0,0,,"Rain, Overcast",rain,remote
Asi Ganga (Uttarkashi),2012-08-01T03:00:00,20.8,20.8,19.8,94.01,0.1,100,rain,,,,3.2,319.9,,95.9,,0,0,0,,"Rain, Overcast",rain,remote
Asi Ganga (Uttarkashi),2012-08-01T04:00:00,20.7,20.7,19.6,93.42,0.1,100,rain,,,,3.6,310,,94.9,,0,0,0,,"Rain, Overcast",rain,remote
Asi Ganga (Uttarkashi),2012-08-01T05:00:00,20.7,20.7,19.4,92.27,0.1,100,rain,,,,4,301.7,,94,,0,0,0,,"Rain, Overcast",rain,remote
Asi Ganga (Uttarkashi),2012-08-01T06:00:00,21,21,19.8,92.86,0.1,100,rain,,,,4,305.4,,90.7,,36,0.1,0,,"Rain, Overcast",rain,remote
Asi Ganga (Uttarkashi),2012-08-01T07:00:00,22.7,22.7,20.3,86.33,0.1,100,rain,,,,6.8,288.6,,77.5,,179.3,0.6,2,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-01T08:00:00,24.3,24.3,19.8,76,0.1,100,rain,,,,11.9,275.2,,68.1,,371.9,1.3,4,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-01T09:00:00,25.3,25.3,19.2,68.97,0.1,100,rain,,,,15.5,268.8,,77.7,,548.5,2,5,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-01T10:00:00,26,26,19.1,65.75,0.2,100,rain,,,,17.6,264.9,,85.5,,667.3,2.4,7,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-01T11:00:00,26.5,26.5,19.2,64.24,0.2,100,rain,,,,18.7,261,,78.6,,746,2.7,7,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-01T12:00:00,26.9,28.1,19.4,63.53,0.2,100,rain,,,,19.4,258,,57.7,,759.3,2.7,8,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-01T13:00:00,27.1,28.4,19.5,63.18,0.2,100,rain,,,,20.2,256.7,,56.1,,745,2.7,7,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-01T14:00:00,27,28.3,19.6,63.95,0.2,100,rain,,,,20.5,258,,60.2,,639.3,2.3,6,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-01T15:00:00,26.8,28.1,19.6,64.7,0.1,100,rain,,,,19.1,259.5,,77.1,,519.8,1.9,5,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-01T16:00:00,26.4,26.4,19.6,66.25,0.1,100,rain,,,,17.6,260.3,,90.3,,375.6,1.4,4,,"Rain, Overcast",rain,remote
Asi Ganga (Uttarkashi),2012-08-01T17:00:00,25.6,25.6,19.9,70.77,0.1,100,rain,,,,14.4,261.2,,87.4,,213.5,0.8,2,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-01T18:00:00,24.5,24.5,20.6,78.9,0,0,,,,,9.7,261.4,,88.5,,81.1,0.3,1,,Partially cloudy,partly-cloudy-day,remote
Asi Ganga (Uttarkashi),2012-08-01T19:00:00,23,23,20.7,86.9,0,0,,,,,7.2,264.3,,87.1,,6.9,0,0,,Partially cloudy,partly-cloudy-day,remote
Asi Ganga (Uttarkashi),2012-08-01T20:00:00,22.5,22.5,20.3,87.39,0,0,,,,,7.2,270.8,,85.5,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
Asi Ganga (Uttarkashi),2012-08-01T21:00:00,22.2,22.2,20.1,87.9,0,0,,,,,7.2,279.7,,83.2,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
Asi Ganga (Uttarkashi),2012-08-01T22:00:00,21.9,21.9,19.9,88.42,0,0,,,,,7.2,287.8,,83.7,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
Asi Ganga (Uttarkashi),2012-08-01T23:00:00,21.8,21.8,19.8,88.42,0,0,,,,,6.5,296,,87.2,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
Asi Ganga (Uttarkashi),2012-08-02T00:00:00,21.8,21.8,19.6,87.32,0,0,,,,,5,299.6,,91.2,,0,0,0,,Overcast,cloudy,remote
Asi Ganga (Uttarkashi),2012-08-02T01:00:00,21.8,21.8,19.5,86.78,0,0,,,,,4,301.4,,94.6,,0,0,0,,Overcast,cloudy,remote
Asi Ganga (Uttarkashi),2012-08-02T02:00:00,21.6,21.6,19.3,86.77,0,0,,,,,3.6,303.3,,92,,0,0,0,,Overcast,cloudy,remote
Asi Ganga (Uttarkashi),2012-08-02T03:00:00,21.5,21.5,19.1,86.22,0,0,,,,,2.9,310.2,,89.9,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
Asi Ganga (Uttarkashi),2012-08-02T04:00:00,21.5,21.5,18.8,84.62,0,0,,,,,2.2,307.6,,83.3,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
Asi Ganga (Uttarkashi),2012-08-02T05:00:00,21.5,21.5,18.4,82.52,0,0,,,,,2.2,276.1,,72.7,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
Asi Ganga (Uttarkashi),2012-08-02T06:00:00,21.6,21.6,19.1,85.69,0,0,,,,,1.8,242.1,,79.7,,23.6,0.1,0,,Partially cloudy,partly-cloudy-day,remote
Asi Ganga (Uttarkashi),2012-08-02T07:00:00,22.3,22.3,19,81.6,0,0,,,,,6.1,246.1,,91.1,,110.2,0.4,1,,Overcast,cloudy,remote
Asi Ganga (Uttarkashi),2012-08-02T08:00:00,23.6,23.6,19,75.42,0,0,,,,,11.2,252.7,,96.3,,256.4,0.9,3,,Overcast,cloudy,remote
Asi Ganga (Uttarkashi),2012-08-02T09:00:00,24.8,24.8,18.4,67.59,0,0,,,,,15.5,255.9,,96,,430.8,1.6,4,,Overcast,cloudy,remote
Asi Ganga (Uttarkashi),2012-08-02T10:00:00,25.7,25.7,18.4,64.07,0,0,,,,,18,256.5,,95.8,,587,2.1,6,,Overcast,cloudy,remote
Asi Ganga (Uttarkashi),2012-08-02T11:00:00,26.5,26.5,18.7,62.26,0.1,100,rain,,,,19.1,256.8,,95.2,,709.5,2.6,7,,"Rain, Overcast",rain,remote
Asi Ganga (Uttarkashi),2012-08-02T12:00:00,26.9,28,18.9,61.58,0.1,100,rain,,,,19.1,257.1,,94.1,,733.8,2.6,7,,"Rain, Overcast",rain,remote
Asi Ganga (Uttarkashi),2012-08-02T13:00:00,27.1,28.3,19.2,62.01,0.1,100,rain,,,,18.4,256.8,,92.3,,655.3,2.4,7,,"Rain, Overcast",rain,remote
Asi Ganga (Uttarkashi),2012-08-02T14:00:00,27.3,28.6,19.4,62.05,0.1,100,rain,,,,17.6,256.7,,90.7,,597,2.1,6,,"Rain, Overcast",rain,remote
Asi Ganga (Uttarkashi),2012-08-02T15:00:00,27.3,28.6,19.5,62.44,0.1,100,rain,,,,16.2,255.6,,89,,503.5,1.8,5,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-02T16:00:00,26.9,28.2,19.5,63.93,0.1,100,rain,,,,14.8,254.2,,89.3,,357,1.3,4,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-02T17:00:00,26.2,26.2,19.9,68.29,0.1,100,rain,,,,11.9,253.1,,85.5,,201.8,0.7,2,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-02T18:00:00,25.1,25.1,20.3,74.73,0,0,,,,,9,251.4,,82.6,,75.9,0.3,1,,Partially cloudy,partly-cloudy-day,remote
Asi Ganga (Uttarkashi),2012-08-02T19:00:00,24,24,21,83.33,0,0,,,,,5,246.8,,80,,6.5,0,0,,Partially cloudy,partly-cloudy-day,remote
Asi Ganga (Uttarkashi),2012-08-02T20:00:00,24,24,20.1,78.83,0,0,,,,,4,250.6,,71.9,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
Asi Ganga (Uttarkashi),2012-08-02T21:00:00,23.8,23.8,19.8,78.32,0,0,,,,,3.2,270.7,,66.7,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
Asi Ganga (Uttarkashi),2012-08-02T22:00:00,23.4,23.4,19.6,79.24,0,0,,,,,2.9,304.8,,67.5,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
Asi Ganga (Uttarkashi),2012-08-02T23:00:00,23,23,19.7,81.68,0,0,,,,,2.5,343.2,,70.2,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
Asi Ganga (Uttarkashi),2012-08-03T00:00:00,22.5,22.5,19.9,85.25,0,0,,,,,2.9,8.6,,71.4,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
Asi Ganga (Uttarkashi),2012-08-03T01:00:00,22.1,22.1,19.9,87.35,0,0,,,,,2.9,19.2,,75.1,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
Asi Ganga (Uttarkashi),2012-08-03T02:00:00,22,22,19.4,85.2,0,0,,,,,1.4,27.9,,78.1,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
Asi Ganga (Uttarkashi),2012-08-03T03:00:00,21.7,21.7,19.4,86.77,0,0,,,,,1.1,138.9,,72.1,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
Asi Ganga (Uttarkashi),2012-08-03T04:00:00,21.3,21.3,19.5,89.48,0,0,,,,,1.8,142.3,,56.9,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
Asi Ganga (Uttarkashi),2012-08-03T05:00:00,20.9,20.9,19.4,91.14,0,0,,,,,2.2,133,,43.8,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
Asi Ganga (Uttarkashi),2012-08-03T06:00:00,21,21,19.7,92.28,0,0,,,,,1.4,124.1,,66.9,,32.7,0.1,0,,Partially cloudy,partly-cloudy-day,remote
Asi Ganga (Uttarkashi),2012-08-03T07:00:00,22.5,22.5,19.8,84.72,0,0,,,,,2.9,227.6,,80.5,,152.6,0.5,2,,Partially cloudy,partly-cloudy-day,remote
Asi Ganga (Uttarkashi),2012-08-03T08:00:00,24.2,24.2,19.3,74.12,0,0,,,,,7.9,251.4,,80.9,,334.9,1.2,3,,Partially cloudy,partly-cloudy-day,remote
Asi Ganga (Uttarkashi),2012-08-03T09:00:00,25.4,25.4,19.2,68.56,0.2,100,rain,,,,11.5,250.3,,81.9,,542,2,5,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-03T10:00:00,26.5,26.5,19.5,65.45,0.8,100,rain,,,,13.7,244.2,,80.5,,714.3,2.6,7,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-03T11:00:00,27.4,28.8,19.8,63.24,1.8,100,rain,,,,15.5,238.7,,75.5,,838,3,8,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-03T12:00:00,27.5,29,20.1,64.05,3,100,rain,,,,16.6,236.8,,69.9,,773.8,2.8,8,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-03T13:00:00,27.1,28.7,20.4,66.8,3.7,100,rain,,,,16.9,236,,65.9,,644.3,2.3,6,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-03T14:00:00,26.7,26.7,20.7,69.67,3.5,100,rain,,,,16.6,234.3,,55.6,,580,2.1,6,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-03T15:00:00,26.3,26.3,20.8,71.77,4,100,rain,,,,14.8,234.1,,47.2,,462.4,1.7,5,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-03T16:00:00,25.9,25.9,20.9,73.95,4,100,rain,,,,12.6,235.1,,43.9,,365.6,1.3,4,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-03T17:00:00,25.4,25.4,20.9,76.17,3.8,100,rain,,,,10.8,236.7,,40.5,,204,0.7,2,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-03T18:00:00,24.4,24.4,20.4,78.4,3.7,100,rain,,,,8.6,233.3,,46.1,,77.1,0.3,1,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-03T19:00:00,23.4,23.4,21.1,86.93,3.5,100,rain,,,,3.6,211.3,,58.3,,4.7,0,0,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-03T20:00:00,22.7,22.7,21.2,91.25,4.3,100,rain,,,,1.8,144.1,,62.1,,0,0,0,,"Rain, Partially cloudy",rain,remote
Asi Ganga (Uttarkashi),2012-08-03T21:00:00,22,22,20.9,93.48,4.8,100,rain,,,,2.2,84.4,,64.7,,0,0,0,,"Rain, Partially cloudy",rain,remote
