name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T00:00:00,17.9,17.9,15.9,88.09,0,0,,,,,5,62.6,,77.5,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T01:00:00,17.9,17.9,15.7,86.97,0,0,,,,,4.3,60.5,,70.1,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T02:00:00,17.8,17.8,15.6,86.96,0,0,,,,,3.6,56.7,,70.1,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T03:00:00,17.8,17.8,15.6,86.96,0,0,,,,,3.6,50.4,,74.4,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T04:00:00,17.8,17.8,15.5,86.4,0,0,,,,,3.2,37,,73,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T05:00:00,17.7,17.7,15.4,86.39,0,0,,,,,2.9,21.6,,69.4,,1.1,0,0,,Partially cloudy,partly-cloudy-night,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T06:00:00,18.1,18.1,16.2,88.67,0.1,100,rain,,,,2.2,0.7,,63.8,,46.1,0.2,0,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T07:00:00,19.4,19.4,16,80.71,0.1,100,rain,,,,4,268.5,,58,,147.1,0.5,1,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T08:00:00,20.5,20.5,16.2,76.36,0.4,100,rain,,,,11.2,247.6,,55.3,,255.8,0.9,3,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T09:00:00,21.7,21.7,16.1,70.48,0.4,100,rain,,,,15.5,246.9,,45,,423.8,1.5,4,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T10:00:00,22.8,22.8,15.8,64.67,0.2,100,rain,,,,17.3,249.6,,50.6,,527.5,1.9,5,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T11:00:00,23.1,23.1,15.7,63.1,0.1,100,rain,,,,16.9,251.9,,55.6,,492.9,1.8,5,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T12:00:00,23.5,23.5,15.8,61.99,0.1,100,rain,,,,15.8,254.9,,51.5,,573.8,2.1,6,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T13:00:00,24,24,15.8,60.15,0.1,100,rain,,,,14.8,255.8,,48,,587.5,2.1,6,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T14:00:00,24.4,24.4,15.7,58.35,0.1,100,rain,,,,14,255.2,,38.1,,601,2.2,6,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T15:00:00,24.5,24.5,15.6,57.63,0.3,100,rain,,,,14.4,253.6,,45.1,,542,2,5,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T16:00:00,23.6,23.6,15.8,61.61,0.8,100,rain,,,,14.4,252.9,,49.3,,365,1.3,4,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T17:00:00,22.7,22.7,16,65.9,0.8,100,rain,,,,13,253.1,,49.7,,239.4,0.9,2,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T18:00:00,21.5,21.5,16.4,72.73,1.1,100,rain,,,,10.1,252,,50.3,,108.8,0.4,1,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T19:00:00,20,20,17.6,86.07,0.8,100,rain,,,,5.4,251.8,,48.4,,13.8,0,0,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T20:00:00,19.4,19.4,17.4,88.22,1.2,100,rain,,,,3.6,260.2,,54.6,,0,0,0,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T21:00:00,19,19,17,88.18,1.1,100,rain,,,,1.4,319.8,,58.9,,0,0,0,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T22:00:00,18.2,18.2,17,92.71,1.1,100,rain,,,,2.9,29.8,,55.4,,0,0,0,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-14T23:00:00,17.8,17.8,16.6,92.69,1,100,rain,,,,4.3,33,,49.9,,0,0,0,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-15T00:00:00,17.4,17.4,16.2,92.67,0.8,100,rain,,,,4.7,26,,38.4,,0,0,0,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-15T01:00:00,17.1,17.1,15.7,91.47,0.6,100,rain,,,,5,10.6,,41.6,,0,0,0,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-15T02:00:00,16.9,16.9,15.6,92.05,0.4,100,rain,,,,4.7,355.9,,45.9,,0,0,0,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-15T03:00:00,17,17,15.5,90.88,0.3,100,rain,,,,3.6,357.3,,53.7,,0,0,0,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-15T04:00:00,16.9,16.9,15.4,90.88,0.2,100,rain,,,,2.9,8.3,,62,,0,0,0,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-15T05:00:00,16.8,16.8,15.5,92.04,0.2,100,rain,,,,2.2,13.4,,72.9,,0.9,0,0,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-15T06:00:00,17.1,17.1,15.6,90.89,0.7,100,rain,,,,2.2,346.2,,76.5,,37.2,0.1,0,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-15T07:00:00,17.9,17.9,15.8,87.53,2.2,100,rain,,,,2.5,290.7,,78.6,,111.6,0.4,1,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-15T08:00:00,18.7,18.7,16.2,85.39,4.7,100,rain,,,,2.9,243.8,,78.6,,219.1,0.8,2,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-15T09:00:00,19.7,19.7,16.5,81.78,3.8,100,rain,,,,5.4,201.5,,79.7,,314.8,1.1,3,,"Rain, Partially cloudy",rain,remote
"Badrinath, Gangotri, Yamunotri and Kedarnath, Uttarakhand ",2013-06-15T10:00:00,20.4,20.4,16.7,79.32,4.2,100,rain,,,,8.6,186,,82.7,,378,1.4,4,,"Rain, Partially cloudy",rain,remote
