name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Palam, delhi",2011-09-10T00:00:00,27,31.2,26,94.27,0,0,,,,,0,0,1004.1,89.2,2,0,0,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"Palam, delhi",2011-09-10T01:00:00,27,31.2,26,94.27,0,0,,,,,5.4,40,1005.1,89.2,2,0,0,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"Palam, delhi",2011-09-10T02:00:00,27,31.2,26,94.3,0,0,,,,,5.4,54,1005,88.8,2,0,0,0,,Partially cloudy,partly-cloudy-night,"42182099999,VIDP,42181099999"
"Palam, delhi",2011-09-10T03:00:00,27.1,31.4,26.1,94.28,0,0,,,,,0,69.8,1004.1,90,2,0,0,0,,Partially cloudy,partly-cloudy-night,42181099999
"Palam, delhi",2011-09-10T04:00:00,27,31.2,26,94.27,0,0,,,,,0,0,1005.1,89.2,1,0,0,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"Palam, delhi",2011-09-10T05:00:00,26.6,26.6,26,96.57,0,0,,,,,0,0,1005,50,1,0,0,0,,Partially cloudy,partly-cloudy-night,"42182099999,VIDP,42181099999"
"Palam, delhi",2011-09-10T06:00:00,26,26,26,100,0,0,,,,,0,0,1005.1,50,1,1.9,0,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"Palam, delhi",2011-09-10T07:00:00,27.1,32,27.1,100,0,0,,,,,0,75,1006.1,50,1,54.1,0.2,1,,Partially cloudy,partly-cloudy-day,42181099999
"Palam, delhi",2011-09-10T08:00:00,28,34.6,27,94.24,0,0,,,,,5.3,87,1007,52.6,1,144.8,0.5,1,,Partially cloudy,partly-cloudy-day,"42182099999,42181099999"
"Palam, delhi",2011-09-10T09:00:00,29,36.9,27,88.99,0,0,,,,,7.6,90,1007.1,50,2,228.4,0.8,2,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999"
"Palam, delhi",2011-09-10T10:00:00,30.1,39,27.1,84.01,0,0,,,,,7.6,90,1007.1,50,2,336.3,1.2,3,,Partially cloudy,partly-cloudy-day,42181099999
"Palam, delhi",2011-09-10T11:00:00,30.5,38.3,26,77.04,0,0,,,,,7.5,85,1007,51.2,2,384.9,1.4,4,,Partially cloudy,partly-cloudy-day,"42182099999,VIDP,42181099999"
"Palam, delhi",2011-09-10T12:00:00,31.4,39.8,26,73.12,0,0,,,,,4.6,12,1007.1,50,2,400.5,1.4,4,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999"
"Palam, delhi",2011-09-10T13:00:00,33.1,40.7,25.1,62.94,0,0,,,,,7.6,80,1006.1,50,3,402.4,1.4,4,,Partially cloudy,partly-cloudy-day,42181099999
"Palam, delhi",2011-09-10T14:00:00,32.6,41,25.6,66.76,0,0,,,,,8.5,74,1005,51.2,3,362.9,1.3,4,,Partially cloudy,partly-cloudy-day,"42182099999,VIDP,42181099999"
"Palam, delhi",2011-09-10T15:00:00,33,39.1,24,59.26,0.4,100,rain,,,,0,0,,50,3,296.8,1.1,3,,"Rain, Partially cloudy",rain,VIDP
"Palam, delhi",2011-09-10T16:00:00,33,39.8,24.4,60.7,0,0,,,,,3,280,1004.1,50,3.4,214.6,0.8,2,,Partially cloudy,partly-cloudy-day,"VIDP,42181099999"
"Palam, delhi",2011-09-10T17:00:00,33,41.2,25.4,64.56,0,0,,,,,8.4,299,1001.9,49.6,3.5,125.5,0.5,1,,Partially cloudy,partly-cloudy-day,"42182099999,VIDP,42181099999"
"Palam, delhi",2011-09-10T18:00:00,32,39.1,25,66.57,0.3,100,rain,,,,7.6,10,,50,3,34.7,0.1,0,,"Rain, Partially cloudy",rain,VIDP
"Palam, delhi",2011-09-10T19:00:00,31.6,39.2,25.4,69.73,0,0,,,,,7.6,314,1003.1,50,3,0,0,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"Palam, delhi",2011-09-10T20:00:00,30,38.8,27,83.87,0,0,,,,,5.2,328,1004,28.1,3,0,0,0,,Partially cloudy,partly-cloudy-night,"42182099999,VIDP,42181099999"
"Palam, delhi",2011-09-10T21:00:00,30,38,26.4,81.08,0,0,,,,,3.3,330,1004.1,28,2.6,0,0,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"Palam, delhi",2011-09-10T22:00:00,29.6,38.1,27,85.95,0,0,,,,,6.7,70,1005.1,28,2,0,0,0,,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
"Palam, delhi",2011-09-10T23:00:00,29,36.9,27,88.95,0,0,,,,,4.5,98,1004.9,28.5,2,0,0,0,,Partially cloudy,partly-cloudy-night,"42182099999,VIDP,42181099999"
