name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T00:00:00,17.3,17.3,16.6,95.66,0,0,,,,,4.7,70,,18.2,,0,0,0,,Clear,clear-night,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T01:00:00,17.1,17.1,16.2,94.44,0,0,,,,,4.7,63.5,,14.5,,0,0,0,,Clear,clear-night,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T02:00:00,17,17,15.8,92.64,0,0,,,,,4.3,56.2,,10.7,,0,0,0,,Clear,clear-night,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T03:00:00,16.9,16.9,15.4,90.88,0,0,,,,,4.3,51.2,,8.4,,0,0,0,,Clear,clear-night,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T04:00:00,16.9,16.9,15,88.57,0,0,,,,,4.3,46,,7,,0,0,0,,Clear,clear-night,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T05:00:00,17,17,14.6,85.77,0,0,,,,,4.3,37.9,,6.2,,0,0,0,,Clear,clear-night,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T06:00:00,17.1,17.1,14.2,83.05,0,0,,,,,4,30.4,,6.6,,16,0.1,0,,Clear,clear-day,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T07:00:00,19,19,16,82.75,0,0,,,,,2.9,21.7,,8.5,,183.5,0.7,2,,Clear,clear-day,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T08:00:00,21.8,21.8,16.7,72.78,0,0,,,,,4,226.5,,8.4,,410.4,1.5,4,,Clear,clear-day,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T09:00:00,22.9,22.9,17.3,70.71,0,0,,,,,8.6,216.8,,10.6,,616.8,2.2,6,,Clear,clear-day,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T10:00:00,23.7,23.7,17.9,69.97,0,0,,,,,10.1,213.5,,8.9,,770.3,2.8,8,,Clear,clear-day,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T11:00:00,24.2,24.2,18.2,69.19,0,0,,,,,11.5,212.1,,10,,868.3,3.1,9,,Clear,clear-day,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T12:00:00,24.5,24.5,18.4,68.82,0,0,,,,,12.6,211.8,,12.6,,892.3,3.2,9,,Clear,clear-day,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T13:00:00,24.5,24.5,18.6,69.68,0,0,,,,,13.3,212.3,,15.5,,834.8,3,8,,Clear,clear-day,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T14:00:00,24.3,24.3,18.5,70.08,0,0,,,,,13.7,214.5,,19.4,,722,2.6,7,,Clear,clear-day,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T15:00:00,23.8,23.8,18.6,72.68,0,0,,,,,13.3,217.7,,30.2,,554,2,6,,Partially cloudy,partly-cloudy-day,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T16:00:00,23.1,23.1,18.8,76.77,0,0,,,,,12.6,221.7,,33.3,,361,1.3,4,,Partially cloudy,partly-cloudy-day,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T17:00:00,22,22,19.1,83.62,0,0,,,,,11.5,224.6,,43.7,,189.5,0.7,2,,Partially cloudy,partly-cloudy-day,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T18:00:00,20.8,20.8,19.5,92.27,0,0,,,,,7.6,221.2,,49.8,,34,0.1,0,,Partially cloudy,partly-cloudy-day,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T19:00:00,20,20,19.5,96.95,0,0,,,,,4.7,214.8,,59.1,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T20:00:00,19.8,19.8,19.5,98.15,0,0,,,,,4,213.5,,64.7,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T21:00:00,19.6,19.6,19.4,98.76,0,0,,,,,4.7,216.2,,69.9,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T22:00:00,19.5,19.5,19.3,98.76,0,0,,,,,5.8,216.3,,76.7,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-09T23:00:00,19.4,19.4,19.2,98.76,0,0,,,,,8.3,209.8,,79.5,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-10T00:00:00,19.3,19.3,19,98.15,0,0,,,,,11.5,206.4,,82.7,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-10T01:00:00,19,19,18.8,98.76,0,0,,,,,13.3,205.8,,87.6,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-10T02:00:00,18.7,18.7,18.5,98.76,0,0,,,,,13.3,208,,92.4,,0,0,0,,Overcast,cloudy,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-10T03:00:00,18.6,18.6,18.4,98.75,0,0,,,,,12.2,206.4,,95.4,,0,0,0,,Overcast,cloudy,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-10T04:00:00,18.4,18.4,18.2,98.75,0,0,,,,,9,203.7,,95.7,,0,0,0,,Overcast,cloudy,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-10T05:00:00,18.2,18.2,18.1,99.37,0,0,,,,,6.5,205.5,,94.6,,0,0,0,,Overcast,cloudy,remote
"Ukhimath, Rudraprayag, Uttarakhand",2012-09-10T06:00:00,18,18,18.1,100,0,0,,,,,6.1,210.4,,93.3,,2.1,0,0,,Overcast,cloudy,remote
